R	G	B	mA
63	63	1	5.01812890625
63	63	3	5.0883681640625005
63	63	7	5.227507812500001
63	63	15	5.504567382812501
63	63	31	6.0586337890625
63	63	63	7.164340820312501
63	63	127	9.3766025390625
63	63	255	9.2770068359375
63	127	0	7.210318359375
63	127	1	7.210312500000001
63	127	3	7.208160156250001
63	127	7	7.203046875000001
63	127	15	7.193157226562501
63	127	31	7.172822265625001
63	127	63	7.132395507812501
63	127	127	9.3461416015625
63	127	255	9.2094384765625
63	255	0	9.39228125
63	255	1	9.3887412109375
63	255	3	9.385859375
63	255	7	9.37908984375
63	255	15	9.371160156250001
63	255	31	9.3516533203125
63	255	63	9.3114404296875
63	255	127	9.232243164062501
63	255	255	9.1383095703125
127	0	0	5.0590546875
127	0	1	5.096505859375
127	0	3	5.16771484375
127	0	7	5.3067128906250005
127	0	15	5.583583984375
127	0	31	6.137202148437501
127	0	63	7.2417060546875005
127	0	127	9.4493046875
127	0	255	9.276285156250001
127	1	0	5.057591796875
127	1	1	5.096588867187501
127	1	3	5.166796875000001
127	1	7	5.306234375000001
127	1	15	5.5831904296875
127	1	31	6.1358837890625
127	1	63	7.2399667968750006
127	1	127	9.4465322265625
127	1	255	9.276787109375
127	3	0	5.055263671875
127	3	1	5.092380859375
127	3	3	5.164357421875001
127	3	7	5.302970703125
127	3	15	5.58048828125
127	3	31	6.133226562500001
127	3	63	7.2382529296875004
127	3	127	9.446029296875
127	3	255	9.2799111328125
127	7	0	5.0483164062500006
127	7	1	5.08615625
127	7	3	5.156715820312501
127	7	7	5.2952607421875
127	7	15	5.571808593750001
127	7	31	6.125392578125
127	7	63	7.230783203125
127	7	127	9.43946484375
127	7	255	9.2782578125
127	15	0	5.0322070312500005
127	15	1	5.0705537109375
127	15	3	5.141155273437501
127	15	7	5.2806591796875
127	15	15	5.5572578125000005
127	15	31	6.110529296875001
127	15	63	7.2169814453125
127	15	127	9.424262695312501
127	15	255	9.277619140625001
127	31	0	5.00205078125
127	31	1	5.039930664062501
127	31	3	5.109564453125
127	31	7	5.247973632812501
127	31	15	5.525402343750001
127	31	31	6.079458007812501
127	31	63	7.1860078125
127	31	127	9.396621093750001
127	31	255	9.277666992187502
127	63	0	4.939357421875
127	63	1	4.978253906250001
127	63	3	5.048328125
127	63	7	5.187517578125001
127	63	15	5.464302734375001
127	63	31	6.019179687500001
127	63	63	7.12796484375
127	63	127	9.3393837890625
127	63	255	9.276620117187502
127	127	0	7.1736210937500005
127	127	1	7.173115234375001
127	127	3	7.172724609375001
127	127	7	7.167753906250001
127	127	15	7.155990234375001
127	127	31	7.135807617187501
127	127	63	7.0949892578125
127	127	127	9.311686523437501
127	127	255	9.209828125
127	255	0	9.321059570312501
127	255	1	9.319413085937502
127	255	3	9.315969726562502
127	255	7	9.30972265625
127	255	15	9.297446289062501
127	255	31	9.2781826171875
127	255	63	9.239797851562502
127	255	127	9.159003906250001
127	255	255	9.138974609375001
255	0	0	9.641628906250002
255	0	1	9.634745117187501
255	0	3	9.628517578125
255	0	7	9.6201005859375
255	0	15	9.604473632812502
255	0	31	9.5751796875
255	0	63	9.518474609375001
255	0	127	9.400091796875
255	0	255	9.158060546875001
255	1	0	9.633324218750001
255	1	1	9.627925781250001
255	1	3	9.623757812500001
255	1	7	9.6169892578125
255	1	15	9.601021484375
255	1	31	9.5714921875
255	1	63	9.513860351562501
255	1	127	9.3978994140625
255	1	255	9.158705078125
255	3	0	9.629423828125
255	3	1	9.624361328125001
255	3	3	9.619287109375001
255	3	7	9.612631835937501
255	3	15	9.597138671875001
255	3	31	9.568471679687502
255	3	63	9.512015625
255	3	127	9.3937734375
255	3	255	9.156917968750001
255	7	0	9.620935546875
255	7	1	9.6156474609375
255	7	3	9.612203125
255	7	7	9.603381835937501
255	7	15	9.590369140625
255	7	31	9.5614169921875
255	7	63	9.504935546875
255	7	127	9.387267578125002
255	7	255	9.158347656250001
255	15	0	9.6078740234375
255	15	1	9.603476562500001
255	15	3	9.600329101562501
255	15	7	9.5927109375
255	15	15	9.5779873046875
255	15	31	9.548478515625002
255	15	63	9.489874023437501
255	15	127	9.3709912109375
255	15	255	9.156825195312502
255	31	0	9.579387695312501
255	31	1	9.574123046875
255	31	3	9.570048828125
255	31	7	9.561611328125
255	31	15	9.5485830078125
255	31	31	9.517879882812501
255	31	63	9.458841796875001
255	31	127	9.3415546875
255	31	255	9.152326171875
255	63	0	9.520512695312501
255	63	1	9.51573828125
255	63	3	9.512606445312501
255	63	7	9.5052783203125
255	63	15	9.491859375
255	63	31	9.461578125
255	63	63	9.4027548828125
255	63	127	9.284568359375001
255	63	255	9.152625
255	127	0	9.408631835937502
255	127	1	9.4083759765625
255	127	3	9.408111328125
255	127	7	9.406918945312501
255	127	15	9.405700195312502
255	127	31	9.405041015625
255	127	63	9.4008203125
255	127	127	9.280525390625
255	127	255	9.1478828125
255	255	0	9.174740234375001
255	255	1	9.1741005859375
255	255	3	9.173336914062501
255	255	7	9.172025390625
255	255	15	9.172303710937502
255	255	31	9.170333984375
255	255	63	9.165934570312501
255	255	127	9.156630859375001
255	255	255	9.138066406250001
